46 -107.16 195.764 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
47 -131.575 208.924 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
48 -134.378 241.706 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
49 -140.044 254.353 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
50 -110.039 196.607 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
51 -128.005 228.71 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
52 -102.752 195.025 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
53 -163.122 243.946 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
54 -108.679 209.476 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
55 -104.136 220.627 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
56 -109.942 203.076 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
57 -106.505 206.729 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
58 -91.6982 174.941 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
59 -125.034 236.212 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
60 -130.374 230.4 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
61 -138.079 235.437 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
62 -111.282 195.79 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
63 -108.028 193.94 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
64 -137.4 237.869 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
65 -139.084 261.446 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
66 -126.618 249.172 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
67 -86.0784 194.894 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
68 -147.074 237.473 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
69 -117.759 209.107 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
70 -105.076 205.98 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
71 -110.678 216.813 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
72 -114.944 215.276 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
73 -108.991 213.877 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
74 -154.362 263.329 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
75 -121.747 230.047 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
76 -138.315 233.637 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
77 -115.296 216.789 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
78 -143.681 246.382 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
79 -173.458 260.943 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
80 -123.362 212.162 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
81 -148.311 245.217 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
82 -121.457 214.528 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
83 -151.358 247.92 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
84 -101.92 201.905 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
85 -140.521 243.902 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
86 -116.094 198.806 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
87 -121.355 217.681 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
88 -143.569 248.011 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
89 -121.407 220.229 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
