876.1,86.736,317.65
862.54,83.88,317.15
848.99,82.051,316.44
835.44,80.907,315.2
821.88,80.182,313.31
808.33,79.682,310.74
794.77,79.266,307.6
781.22,78.844,304.08
767.67,78.36,300.41
754.11,77.785,296.86
740.56,77.105,293.68
727,76.31,291.11
713.45,75.387,289.31
699.9,74.303,288.37
686.34,73.001,288.25
672.79,71.386,288.78
659.23,69.314,289.6
645.68,66.583,290.18
632.13,62.922,289.73
618.57,57.982,287.23
876.1,-85.664,317.65
862.54,-82.808,317.15
848.99,-80.979,316.44
835.44,-79.835,315.2
821.88,-79.11,313.31
808.33,-78.61,310.74
794.77,-78.194,307.6
781.22,-77.772,304.08
767.67,-77.288,300.41
754.11,-76.713,296.86
740.56,-76.033,293.68
727,-75.238,291.11
713.45,-74.315,289.31
699.9,-73.231,288.37
686.34,-71.929,288.25
672.79,-70.314,288.78
659.23,-68.242,289.6
645.68,-65.511,290.18
632.13,-61.85,289.73
618.57,-56.91,287.23
835.92,11.243,318.68
833.84,17.402,319.85
831.77,22.194,320.39
829.69,26.099,320.63
827.62,29.503,320.79
825.54,32.696,320.99
823.47,35.893,321.27
821.39,39.23,321.58
819.31,42.785,321.86
817.24,46.578,322
815.16,50.586,321.89
813.09,54.745,321.41
811.01,58.969,320.48
808.94,63.147,319.07
806.86,67.164,317.2
804.79,70.898,314.98
802.71,74.239,312.61
800.64,77.093,310.42
798.56,79.39,308.87
796.49,81.096,308.57
835.92,-10.171,318.68
833.84,-16.33,319.85
831.77,-21.122,320.39
829.69,-25.027,320.63
827.62,-28.431,320.79
825.54,-31.624,320.99
823.47,-34.821,321.27
821.39,-38.158,321.58
819.31,-41.713,321.86
817.24,-45.506,322
815.16,-49.514,321.89
813.09,-53.673,321.41
811.01,-57.897,320.48
808.94,-62.075,319.07
806.86,-66.092,317.2
804.79,-69.826,314.98
802.71,-73.167,312.61
800.64,-76.021,310.42
798.56,-78.318,308.87
796.49,-80.024,308.57
768.36,11.613,313.15
767.44,13.74,313.2
766.52,16.235,313.44
765.61,18.922,313.76
764.69,21.687,314.1
763.77,24.464,314.38
762.86,27.229,314.54
761.94,29.992,314.54
761.02,32.787,314.34
760.11,35.664,313.91
759.19,38.681,313.23
758.27,41.893,312.3
757.35,45.347,311.11
756.44,49.071,309.66
755.52,53.065,307.98
754.6,57.294,306.08
753.69,61.68,303.98
752.77,66.09,301.71
751.85,70.331,299.31
750.94,74.139,296.82
768.36,-10.541,313.15
767.44,-12.668,313.2
766.52,-15.163,313.44
765.61,-17.85,313.76
764.69,-20.615,314.1
763.77,-23.392,314.38
762.86,-26.157,314.54
761.94,-28.92,314.54
761.02,-31.715,314.34
760.11,-34.592,313.91
759.19,-37.609,313.23
758.27,-40.821,312.3
757.35,-44.275,311.11
756.44,-47.999,309.66
755.52,-51.993,307.98
754.6,-56.222,306.08
753.69,-60.608,303.98
752.77,-65.018,301.71
751.85,-69.259,299.31
750.94,-73.067,296.82
704.62,8.566,301.76
703.83,13.4,302.23
703.05,17.912,302.92
702.27,22.26,303.57
701.48,26.525,304.01
700.7,30.721,304.15
699.91,34.81,303.96
699.13,38.726,303.47
698.34,42.385,302.73
697.56,45.705,301.83
696.78,48.624,300.84
695.99,51.112,299.84
695.21,53.196,298.9
694.42,54.968,298.02
693.64,56.607,297.18
692.85,58.394,296.28
692.07,60.731,295.15
691.29,64.154,293.54
690.5,69.354,291.06
689.72,77.192,287.23
704.62,-7.494,301.76
703.83,-12.328,302.23
703.05,-16.84,302.92
702.27,-21.188,303.57
701.48,-25.453,304.01
700.7,-29.649,304.15
699.91,-33.738,303.96
699.13,-37.654,303.47
698.34,-41.313,302.73
697.56,-44.633,301.83
696.78,-47.552,300.84
695.99,-50.04,299.84
695.21,-52.124,298.9
694.42,-53.896,298.02
693.64,-55.535,297.18
692.85,-57.322,296.28
692.07,-59.659,295.15
691.29,-63.082,293.54
690.5,-68.282,291.06
689.72,-76.12,287.23
891.82,0.48584,313.99
878.01,0.24687,314.97
864.2,0.12322,315.67
850.39,0.067939,316.02
836.58,0.047018,315.98
822.78,0.037718,315.56
808.97,0.026842,314.78
795.16,0.0090348,313.66
781.35,-0.014928,312.27
767.54,-0.039846,310.65
753.74,-0.057798,308.87
739.93,-0.059853,306.99
726.12,-0.037777,305.05
712.31,0.014263,303.09
698.5,0.097987,301.15
684.7,0.2093,299.23
670.89,0.33658,297.29
657.08,0.45898,295.3
643.27,0.54469,293.17
629.46,0.54929,290.76
